asset	subAsset	kind	detail
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_9	Mesh	verts=326 tris=388 submeshes=1 readable=False bounds=(0.33, 0.18, 0.25)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_10	Mesh	verts=1158 tris=1522 submeshes=1 readable=False bounds=(1.02, 0.44, 3.72)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_11	Mesh	verts=244 tris=284 submeshes=1 readable=False bounds=(0.28, 0.14, 0.15)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_12	Mesh	verts=645 tris=976 submeshes=1 readable=False bounds=(2.62, 0.46, 0.97)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_13	Mesh	verts=2556 tris=3440 submeshes=1 readable=False bounds=(4.67, 0.15, 9.37)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_14	Mesh	verts=84 tris=72 submeshes=1 readable=False bounds=(4.28, 1.05, 8.31)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_15	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.21, 1.00, 0.21)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_16	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.21, 1.00, 0.21)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_17	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.21, 1.00, 0.21)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_18	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.21, 1.00, 0.21)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_19	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.21, 1.00, 0.21)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_20	Mesh	verts=196 tris=280 submeshes=1 readable=False bounds=(0.21, 1.00, 0.21)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_21	Mesh	verts=4204 tris=6634 submeshes=1 readable=False bounds=(7.36, 1.61, 11.95)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_22	Mesh	verts=592 tris=646 submeshes=1 readable=False bounds=(3.35, 0.24, 6.02)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	Object_23	Mesh	verts=2131 tris=3676 submeshes=1 readable=False bounds=(6.60, 2.00, 11.96)
