scene,object_path,prefab,mesh_asset,mesh_name,triangle_count,material_count,static_flags,estimated_distance_from_player,typical_screen_coverage,current_cast_shadows,current_receive_shadows,object_class,classification,reason,recommended_cast_shadows_after,recommended_receive_shadows_after,has_mesh_collider,mesh_collider_triangles,lod_group,visual_risk
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/pictureframe/Photo,Assets/BCaT_assets/BlackParlors/Assets/pictureframe.prefab,Library/unity default resources,Quad,2,1,0,5.907,Small,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/BigMommaLivingRoom/pictureframe/Photo,Assets/BCaT_assets/BlackParlors/Prefabs/Black_Parlors.prefab,Library/unity default resources,Quad,2,1,0,5.397,Small,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/Black_Parlors/pictureframe/Photo,Assets/BCaT_assets/BlackParlors/Prefabs/Black_Parlors.prefab,Library/unity default resources,Quad,2,1,0,5.216,Medium,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/notebook/Plane_0/Object_4,Assets/BCaT_assets/BTMMP_Workstation_Assembly/notebook.glb,Assets/BCaT_assets/BTMMP_Workstation_Assembly/notebook.glb,Object_0,66507,1,0,6.542,Small,On,True,SmallProp,Can safely stop casting shadows,Small prop or low screen coverage; receiving shadows is usually sufficient.,No,True,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/VintageCamera_Preview/Artifact_VintageCamera/LL_AntiqueCamera_Model/Armature/Object_6/Object_9,Assets/BCaT_assets/LindaLeaks/Prefabs/LindaLeaks_Exhibit_VintageCamera.prefab,Assets/BCaT_assets/LindaLeaks/Models/LL_AntiqueCamera.glb,kamera.001_Material.002_0,17946,1,0,7.818,Small,On,True,SmallProp,Can safely stop casting shadows,Small prop or low screen coverage; receiving shadows is usually sufficient.,No,True,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/Home/FirstFloor/LivingRoom/flower_pot_1,Assets/DevDen Arch Viz Scotland/Prefabs/Balcony/flower_pot_1.prefab,Assets/DevDen Arch Viz Scotland/Models/Balcony/flower_pot_1.fbx,flowere1,17730,4,-1,6.105,Small,On,True,Vegetation,Can safely stop casting shadows,Small or distant vegetation shadow cost is high relative to visual value.,No,True,True,17730,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/notebook/Plane_0/Object_5,Assets/BCaT_assets/BTMMP_Workstation_Assembly/notebook.glb,Assets/BCaT_assets/BTMMP_Workstation_Assembly/notebook.glb,Object_1,16676,1,0,6.546,Small,On,True,SmallProp,Can safely stop casting shadows,Small prop or low screen coverage; receiving shadows is usually sufficient.,No,True,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/HOMED/Recipe-Box,Assets/BCaT_assets/HOMED/Prefabs/HOMED.prefab,Assets/BCaT_assets/HOMED/Models/Recipe-Box.glb,,16135,1,LightmapStatic,5.540,Small,On,True,SmallProp,Can safely stop casting shadows,Small prop or low screen coverage; receiving shadows is usually sufficient.,No,True,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/notebook/BezierCircle_2/Object_9,Assets/BCaT_assets/BTMMP_Workstation_Assembly/notebook.glb,Assets/BCaT_assets/BTMMP_Workstation_Assembly/notebook.glb,Object_3,13824,1,0,6.568,Small,On,True,SmallProp,Can safely stop casting shadows,Small prop or low screen coverage; receiving shadows is usually sufficient.,No,True,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/oil_barrel_laying,Assets/BCaT_assets/BTMMP_Workstation_Assembly/blue-oil-barrel-with-lots-of-spray-paint-streaks/source/oil barrel1hig22low uv.fbx,Assets/BCaT_assets/BTMMP_Workstation_Assembly/blue-oil-barrel-with-lots-of-spray-paint-streaks/source/oil barrel1hig22low uv.fbx,low,10650,1,0,6.901,Small,On,True,SmallProp,Can safely stop casting shadows,Small prop or low screen coverage; receiving shadows is usually sufficient.,No,True,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/oil_barrel_standing,Assets/BCaT_assets/BTMMP_Workstation_Assembly/blue-oil-barrel-with-lots-of-spray-paint-streaks/source/oil barrel1hig22low uv.fbx,Assets/BCaT_assets/BTMMP_Workstation_Assembly/blue-oil-barrel-with-lots-of-spray-paint-streaks/source/oil barrel1hig22low uv.fbx,low,10650,1,0,7.234,Small,On,True,SmallProp,Can safely stop casting shadows,Small prop or low screen coverage; receiving shadows is usually sufficient.,No,True,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (2),Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb,Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb,Object_0,7552,1,0,5.919,Small,On,True,SmallProp,Can safely stop casting shadows,Small prop or low screen coverage; receiving shadows is usually sufficient.,No,True,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (3),Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb,Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb,Object_0,7552,1,0,5.704,Small,On,True,SmallProp,Can safely stop casting shadows,Small prop or low screen coverage; receiving shadows is usually sufficient.,No,True,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (6),Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb,Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb,Object_0,7552,1,0,5.694,Small,On,True,SmallProp,Can safely stop casting shadows,Small prop or low screen coverage; receiving shadows is usually sufficient.,No,True,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (5),Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb,Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb,Object_0,7552,1,0,5.593,Small,On,True,SmallProp,Can safely stop casting shadows,Small prop or low screen coverage; receiving shadows is usually sufficient.,No,True,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (7),Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb,Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb,Object_0,7552,1,0,6.025,Small,On,True,SmallProp,Can safely stop casting shadows,Small prop or low screen coverage; receiving shadows is usually sufficient.,No,True,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (1),Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb,Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb,Object_0,7552,1,0,5.905,Small,On,True,SmallProp,Can safely stop casting shadows,Small prop or low screen coverage; receiving shadows is usually sufficient.,No,True,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (8),Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb,Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb,Object_0,7552,1,0,5.787,Small,On,True,SmallProp,Can safely stop casting shadows,Small prop or low screen coverage; receiving shadows is usually sufficient.,No,True,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can,Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb,Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb,Object_0,7552,1,0,6.099,Small,On,True,SmallProp,Can safely stop casting shadows,Small prop or low screen coverage; receiving shadows is usually sufficient.,No,True,False,0,,Low
