scene,object_path,renderer,prev_cast,new_cast,prev_receive,new_receive,mesh_triangles,status
Assets/BH_XR_MainScene.unity,_SceneContent/Home/Exterior/Bushes/Bush_03 (8)/Bush_03_LOD0,MeshRenderer,On,Off,True,True,778,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/Exterior/Bushes/Bush_03 (7)/Bush_03_LOD0,MeshRenderer,On,Off,True,True,778,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/Exterior/Bushes/Bush_03 (5)/Bush_03_LOD0,MeshRenderer,On,Off,True,True,778,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/Exterior/Bushes/Bush_03 (6)/Bush_03_LOD0,MeshRenderer,On,Off,True,True,778,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/Exterior/Bushes/Bush_03 (4)/Bush_03_LOD0,MeshRenderer,On,Off,True,True,778,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/Exterior/Bushes/Bush_03 (10)/Bush_03_LOD0,MeshRenderer,On,Off,True,True,778,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/Exterior/Bushes/Bush_03 (11)/Bush_03_LOD0,MeshRenderer,On,Off,True,True,778,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/Exterior/Bushes/Bush_03/Bush_03_LOD0,MeshRenderer,On,Off,True,True,778,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/Exterior/Backyard/well/Sphere,MeshRenderer,On,Off,True,True,768,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/Exterior/Backyard/well/Sphere,MeshRenderer,On,Off,True,True,768,APPLIED
Assets/BH_XR_MainScene.unity,BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Right Controller/Right Controller Visual/UniversalController/Trigger,MeshRenderer,On,Off,True,True,758,APPLIED
Assets/BH_XR_MainScene.unity,BuildProfiles/XR/XR Origin (XR Rig)/Camera Offset/Left Controller/Left Controller Visual/UniversalController/Trigger,MeshRenderer,On,Off,True,True,758,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (11)/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (19)/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (16)/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (11)/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (8)/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (17)/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (2)/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (1)/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (1)/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (2)/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (2)/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (10)/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (3)/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (5)/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (12)/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (14)/jungle_bush_1_LOD0,MeshRenderer,On,Off,True,True,737,APPLIED
