path	guid	type	sizeBytes	tags
Assets/Animated Tropical Vegetation/Prefabs/Static/Dead Trees/Dead Tree 1.prefab	0ece2711b94372f4488b055506bbc76a	GameObject	9750	-
Assets/Animated Tropical Vegetation/Prefabs/Static/Dead Trees/Dead Tree 2.prefab	239dfbfeb3a17e04491f5539d8672555	GameObject	9746	-
Assets/Animated Tropical Vegetation/Prefabs/Static/Dead Trees/Dead Tree 3.prefab	c281147c7404f294bbb100dbe6835a59	GameObject	9945	-
Assets/Animated Tropical Vegetation/Prefabs/Static/Jungle Bushes/Jungle Bush 1.prefab	23877097e4a25a94cb2b4892fbdc5066	GameObject	9117	scene:BH_XR_MainScene
Assets/Animated Tropical Vegetation/Prefabs/Static/Jungle Bushes/Jungle Bush 3.prefab	0d72691bd450eb449956124f61a13032	GameObject	9115	scene:BH_XR_MainScene
Assets/Animated Tropical Vegetation/Prefabs/Static/Large Palm Trees/Large Palm Tree 1.prefab	45846fdfe6487ac41846d1fa27628fc4	GameObject	13508	-
Assets/Animated Tropical Vegetation/Prefabs/Static/Large Palm Trees/Large Palm Tree 2.prefab	ebb974b2a3cfbbf42afa8ff6b3a60d9f	GameObject	12567	-
Assets/Animated Tropical Vegetation/Prefabs/Static/Palm Trees/Palm Tree 2.prefab	5801e9c10ab2b4543a42e02fc0ddacd3	GameObject	13482	-
Assets/Animated Tropical Vegetation/Prefabs/Static/Small Trees/Small Tree 2.prefab	ceafd600431ec274fb00e6bec7d7ba06	GameObject	12538	-
Assets/Animated Tropical Vegetation/Prefabs/Static/Small Trees/Small Tree 3.prefab	b474810f32ea6314db52fcd629ac1062	GameObject	12548	-
Assets/Animated Tropical Vegetation/Prefabs/Static/Small Trees/Small Tree 4.prefab	016d659416b95a44dbacd80d3e8f1adf	GameObject	12540	-
Assets/Animated Tropical Vegetation/Prefabs/Static/Tropical Plant/Tropical Plant.prefab	64d33ab24b5bc7b46817846a5e06e086	GameObject	11703	-
Assets/Animated Tropical Vegetation/Readme.pdf	4f9a4529f85528441be0f44c3c586221	DefaultAsset	104320	-
Assets/Animated Tropical Vegetation/Shaders/StandardDoubleSided.shader	b9e449a1a47fdbd448e132232d1f3c94	Shader	12435	-
Assets/Animated Tropical Vegetation/Textures/bamboo_bark_color.png	67bdd7cc9b46db449ae8833782fa808e	Texture2D	124783	-
Assets/Animated Tropical Vegetation/Textures/bamboo_bark_normal.png	e35b2a0f59fc9dd4a8be559c3952556a	Texture2D	93619	-
Assets/Animated Tropical Vegetation/Textures/bamboo_leaves_color.png	3738576a4eb1a0f46b394ff2a3d9b435	Texture2D	105966	-
Assets/Animated Tropical Vegetation/Textures/bamboo_leaves_normal.png	3475cfac7e8be8c4db1b8d478a868671	Texture2D	33237	-
Assets/Animated Tropical Vegetation/Textures/banana_tree_1_bark_color.png	7e4794925617909438e48c468b4f0dd4	Texture2D	442420	-
Assets/Animated Tropical Vegetation/Textures/banana_tree_1_bark_normal.png	48e749eeea2cb15409b0854393dffd4f	Texture2D	330408	-
Assets/Animated Tropical Vegetation/Textures/banana_tree_1_leaf_color.png	1d48a25c117f6ac43803f79328bd3c0b	Texture2D	159408	-
