prefab,pathObject,rendererCount,totalVertices,totalTriangles,materialSlots,meshColliderCount,meshColliderTriangles,lodGroupCount,shadowCasters,architectureCandidate
"Assets/Coconut Palm Tree Pack/Prefabs/TreeCreatorEditable/Coconut_Palm_Tree02.prefab","Coconut_Palm_Tree02",1,0,0,2,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/TreeCreatorEditable/Coconut_Palm_Tree03.prefab","Coconut_Palm_Tree03",1,0,0,2,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/TreeCreatorEditable/Coconut_Palm_Tree04.prefab","Coconut_Palm_Tree04",1,0,0,2,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/TreeCreatorEditable/Coconut_Palm_Tree05.prefab","Coconut_Palm_Tree05",1,0,0,2,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/TreeCreatorEditable/Coconut_Palm_Tree06.prefab","Coconut_Palm_Tree06",1,0,0,2,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/TreeCreatorEditable/Coconut_Palm_Tree07.prefab","Coconut_Palm_Tree07",1,0,0,2,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/TreeCreatorEditable/Coconut_Palm_Tree08.prefab","Coconut_Palm_Tree08",1,0,0,2,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/TreeCreatorEditable/Coconut_Palm_Tree09.prefab","Coconut_Palm_Tree09",1,0,0,2,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/TreeCreatorEditable/Coconut_Palm_Tree10.prefab","Coconut_Palm_Tree10",1,0,0,2,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/TreeCreatorEditable/Coconut_Palm_Tree11.prefab","Coconut_Palm_Tree11",1,0,0,2,0,0,0,1,False
"Assets/Coconut Palm Tree Pack/Prefabs/TreeCreatorEditable/Coconut_Palm_Tree12.prefab","Coconut_Palm_Tree12",1,0,0,2,0,0,0,1,False
"Assets/danthaigames/DS 80s Television/Prefabs/80sTelevision.prefab","80sTelevision",11,1275,854,13,1,50,0,11,False
"Assets/DevDen Arch Viz Scotland/Prefabs/Balcony/Balcony-Carpet.prefab","Balcony-Carpet",1,40,66,1,1,66,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Balcony/Balcony_ chair.prefab","Balcony_ chair",1,629,444,1,1,444,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Balcony/Balcony_table.prefab","Balcony_table",1,932,704,1,1,704,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Balcony/flower_pot_1.prefab","flower_pot_1",1,19721,17730,4,1,17730,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Bathroom/Bathroom Mirror.prefab","Bathroom Mirror",1,36,26,3,1,26,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Bathroom/Bathroom_cabin.prefab","Bathroom_cabin",7,412,242,7,1,0,0,7,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Bathroom/bathroom_shelf.prefab","bathroom_shelf",1,116,70,1,1,70,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Bathroom/Bathroom_wall.prefab","Bathroom_wall",1,252,126,1,1,126,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Bathroom/BathroomGlass.prefab","BathroomGlass",1,24,12,1,1,12,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Bathroom/BathroomShelf.prefab","BathroomShelf",1,24,12,1,1,12,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Bathroom/ceiling lamp.prefab","ceiling lamp",1,403,510,2,1,510,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Bathroom/Metaldryer.prefab","Metaldryer",1,859,956,1,1,956,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Bathroom/shower.prefab","shower",1,1007,1056,1,1,1056,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Bathroom/Toilet Paper.prefab","Toilet Paper",1,364,284,1,1,284,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Bathroom/Toilet-Sink.prefab","Toilet-Sink",1,410,410,1,1,410,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Bathroom/toilet_accesories.prefab","toilet_accesories",28,80421,75546,28,1,0,0,28,True
