path,width,height,format,isReadable,mipmapCount,runtimeMemoryBytes,fileBytes,maxTextureSize,textureCompression,crunched,alphaSource,sRGBTexture,wrapMode,filterMode
"Assets/Animated Tropical Vegetation/Textures/palm_tree_2_bark_color.png",512,1024,"RGBA_DXT1_SRGB",False,11,700064,567268,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/palm_tree_2_bark_normal.png",512,1024,"RGBA_DXT5_UNorm",False,11,1399152,509386,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/palm_tree_2_leaves_color.png",1024,1024,"RGBA_DXT5_SRGB",False,11,2797232,841605,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/palm_tree_2_leaves_normal.png",1024,1024,"RGBA_DXT5_UNorm",False,11,2797232,171238,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/palm_tree_3_bark_color.png",1024,1024,"RGBA_DXT1_SRGB",False,11,1399104,1607430,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/palm_tree_3_bark_normal.png",1024,1024,"RGBA_DXT5_UNorm",False,11,2797232,1765514,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/palm_tree_3_leaves_color.png",2048,1024,"RGBA_DXT5_SRGB",False,12,5593456,1019279,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/palm_tree_3_leaves_normal.png",2048,1024,"RGBA_DXT5_UNorm",False,12,5593456,747291,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/small_tree_bark_color.png",512,512,"RGBA_DXT1_SRGB",False,10,350528,615443,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/small_tree_bark_normal.png",512,512,"RGBA_DXT5_UNorm",False,10,700080,592089,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/small_tree_leaves_color.png",512,512,"RGBA_DXT5_SRGB",False,10,700080,194295,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/small_tree_leaves_normal.png",512,512,"RGBA_DXT5_UNorm",False,10,700080,43128,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/tropical_plant_leaf_color.png",512,512,"RGBA_DXT5_SRGB",False,10,700080,268666,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
