path,type,fileBytes,vertices,triangles,subMeshes,reason
"Assets/DevDen Arch Viz Scotland/Materials/Bed Room/Paintings_House_2.mat","Material",9941,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bed Room/Paintings_House_4.mat","Material",9869,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bed Room/pattern_wall.mat","Material",4026,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Bed Room/pillow_1.mat","Material",4030,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Common","DefaultAsset",0,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Common/Air Conditioner.mat","Material",10312,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Common/Brass.mat","Material",3753,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Common/Cherry Highgloss.mat","Material",3813,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Common/Chrome Clean.mat","Material",3749,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Common/door1.mat","Material",9790,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Common/lamp.mat","Material",4019,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Common/Lamp_emission.mat","Material",4011,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Common/little_props.mat","Material",9929,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Common/magazine1.mat","Material",9580,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Common/plate.mat","Material",9960,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Common/Shadow Caster.mat","Material",3755,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Common/Socket.mat","Material",9788,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Common/Switch.mat","Material",9788,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Common/switch1.mat","Material",4095,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Common/switch2.mat","Material",4094,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Dining Room","DefaultAsset",0,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Dining Room/Cutlery.mat","Material",9823,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Dining Room/diining_chair_wood.mat","Material",4188,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Dining Room/dinning_chair_cusion.mat","Material",4108,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Dining Room/dinning_table.mat","Material",4076,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Dining Room/Table Mat.mat","Material",4110,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Dining Room/trash-can.mat","Material",9930,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Environment","DefaultAsset",0,0,0,0,name/path heuristic
"Assets/DevDen Arch Viz Scotland/Materials/Environment/Door_frame_mat_1.mat","Material",3801,0,0,0,name/path heuristic
