path,fileBytes,meshAssets,totalVertices,totalTriangles,totalSubMeshes,readWrite,meshCompression,importMaterials,generateColliders,globalScale
"Assets/DevDen Arch Viz Scotland/Models/Living Room/TV.FBX",34848,1,160,140,1,True,Off,False,False,1
"Assets/DevDen Arch Viz Scotland/Models/Living Room/TV_Panels.FBX",33488,1,52,32,1,True,Off,False,False,1
"Assets/DevDen Arch Viz Scotland/Models/Living Room/TV_Shelf.FBX",38816,1,272,188,1,True,Off,False,False,1
"Assets/DevDen Arch Viz Scotland/Models/Living Room/window.fbx",58848,6,724,524,6,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Study Room/books.FBX",39768560,10,1040,740,10,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Study Room/CHair2.fbx",4769290,1,3739,4680,2,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Study Room/Imac.fbx",45920,1,736,708,1,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Study Room/LightTable06_1.FBX",203440,1,1927,1588,3,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Study Room/Pen.FBX",151056,8,2759,2024,8,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Study Room/Picture01_3.FBX",32432,1,60,30,2,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Study Room/Rug_Square_3.obj",3100,1,40,24,1,True,Off,True,False,0.01
"Assets/DevDen Arch Viz Scotland/Models/Study Room/shelf.fbx",52303,1,456,380,1,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Study Room/table.fbx",32608,1,299,204,1,True,Off,True,False,1
"Assets/Emilulz_Assets/DEMOLowPolyFlowers/Assets/SM_Daisy_Single.fbx",27100,1,186,228,1,False,Off,True,False,1
"Assets/Emilulz_Assets/DEMOLowPolyFlowers/Assets/SM_Dandelion_Small.fbx",25948,1,187,188,1,False,Off,True,False,1
"Assets/Emilulz_Assets/DEMOLowPolyFlowers/Assets/SM_Hyacinth_PastellBlue_Big.fbx",52460,1,807,1108,1,False,Off,True,False,1
"Assets/Emilulz_Assets/DEMOLowPolyFlowers/Assets/SM_Rose_Black_Open.fbx",31436,1,317,338,1,False,Off,True,False,1
"Assets/Emilulz_Assets/DEMOLowPolyFlowers/Assets/SM_Rose_Red_Open.fbx",31292,1,317,338,1,False,Off,True,False,1
"Assets/Food Pack-Demo/Mesh/Bell pepper green slice.fbx",19644,1,544,272,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Bell pepper green.fbx",20780,1,550,248,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Bundt Cake cut.fbx",26092,1,829,379,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Bundt Cake Piece.fbx",14780,1,196,86,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Bundt Cake.fbx",24588,1,812,374,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Candy Cane B.fbx",17116,1,428,204,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Cheesecake B.fbx",23932,1,741,279,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Chopsticks B.fbx",11964,1,48,24,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Chopsticks holder.fbx",12092,1,72,36,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Coffee Cup C.fbx",18220,1,462,212,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Cookies.fbx",17372,1,347,127,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Curry plate.fbx",26796,1,854,350,1,False,Off,False,False,1
"Assets/Food Pack-Demo/Mesh/Doughnut D.fbx",21036,1,508,212,1,False,Off,False,False,1
